img,labels_total_time,labels_flight_time,labels_position,labels_inclination
000000.png,0.0534751415252685,0.0,0,0
000001.png,0.1525111198425293,0.0,0,0
000002.png,0.250535249710083,0.0,0,0
000003.png,0.3515431880950928,0.0,0,0
000004.png,0.4505064487457275,0.0,0,0
000005.png,0.5505073070526123,0.0,0,0
000006.png,0.6485404968261719,0.0,0,0
000007.png,0.7515060901641846,0.0,0,0
000008.png,0.8505065441131592,0.0,0,0
000009.png,0.9485435485839844,0.0,0,0
000010.png,1.0535554885864258,0.0,0,0
000011.png,1.1505062580108645,0.0,0,0
000012.png,1.2485466003417969,0.0,0,0
000013.png,1.351506233215332,0.0,0,0
000014.png,1.4518585205078125,0.0,0,0
000015.png,1.5508708953857422,0.0,0,0
000016.png,1.6508705615997314,0.0,0,0
000017.png,1.7508759498596191,0.0,0,0
000018.png,1.8518338203430176,0.0,0,0
000019.png,1.9508881568908687,0.0,0,0
000020.png,2.052833318710327,0.0,0,0
000021.png,2.1508383750915527,0.0,0,0
000022.png,2.248893976211548,0.0,0,0
000023.png,2.3498547077178955,0.0,0,0
000024.png,2.4498395919799805,0.0,0,0
000025.png,2.5478737354278564,0.0,0,0
000026.png,2.648889541625977,0.0,0,0
000027.png,2.748870372772217,0.0,0,0
000028.png,2.8510258197784424,0.0,0,0
000029.png,2.950990676879883,0.0,0,0
000030.png,3.052989959716797,0.0,0,0
000031.png,3.1500062942504883,0.0,0,0
000032.png,3.2480273246765137,0.0,0,0
000033.png,3.34802794456482,0.0,0,0
000034.png,3.4510269165039062,0.0,0,0
000035.png,3.551022291183472,0.0,0,0
000036.png,3.650038480758667,0.0,0,0
000037.png,3.751023769378662,0.0,0,0
000038.png,3.84802770614624,0.0,0,0
000039.png,3.949030637741089,0.0,1,0
000040.png,4.054031848907471,0.0990052223205566,1,0
000041.png,4.150885581970215,0.2000570297241211,1,0
000042.png,4.249881267547607,0.3008630275726318,1,0
000043.png,4.349859952926636,0.4008688926696777,1,0
000044.png,4.450859546661377,0.4979090690612793,1,0
000045.png,4.550891160964966,0.5968689918518066,1,-3
000046.png,4.648860692977905,0.6999056339263916,1,-6
000047.png,4.751859426498413,0.8008692264556885,1,-10
000048.png,4.847902059555054,0.9009273052215576,1,-12
000049.png,4.951900959014893,1.000905990600586,1,-12
000050.png,5.050065994262695,1.1020526885986328,1,-9
000051.png,5.149054288864136,1.200103759765625,1,-3
000052.png,5.247054100036621,1.301100730895996,1,1
000053.png,5.352048873901367,1.3990728855133057,1,6
000054.png,5.452085733413696,1.4990601539611816,1,10
000055.png,5.550865650177002,1.6010527610778809,1,12
000056.png,5.648870944976807,1.6989192962646484,1,17
000057.png,5.75287127494812,1.7968852519989014,1,20
000058.png,5.84990382194519,1.899919033050537,1,22
000059.png,5.950912237167358,1.9999167919158936,1,26
000060.png,6.053913354873657,2.101879835128784,1,27
000061.png,6.1469035148620605,2.197916984558105,1,31
000062.png,6.248905420303345,2.298919200897217,1,34
000063.png,6.351908445358276,2.399895191192627,1,36
000064.png,6.44987678527832,2.499922275543213,1,39
000065.png,6.547903776168823,2.59991455078125,1,40
000066.png,6.647875785827637,2.6999175548553467,1,42
000067.png,6.749873399734497,2.796914339065552,1,42
000068.png,6.846870422363281,2.8978850841522217,1,40
000069.png,6.947324752807617,2.996288776397705,1,36
000070.png,7.054350852966309,3.100294589996338,1,23
000071.png,7.149285316467285,3.197328805923462,1,7
000072.png,7.249291181564331,3.2973220348358154,1,7
000073.png,7.348285436630249,3.400354623794556,1,5
000074.png,7.449315071105957,3.4973366260528564,1,-2
000075.png,7.549291372299194,3.596295118331909,3,0
000076.png,7.647290229797363,3.697331428527832,3,0
000077.png,7.74732232093811,3.7963051795959473,3,0
000078.png,7.847285270690918,3.898294448852539,3,0
000079.png,0.0400111675262451,0.0,0,0
000080.png,0.1380276679992675,0.0,0,0
000081.png,0.2409961223602295,0.0,0,0
000082.png,0.3395686149597168,0.0,0,0
000083.png,0.4366030693054199,0.0,0,0
000084.png,0.5406036376953125,0.0,0,0
000085.png,0.6367712020874023,0.0,0,0
000086.png,0.7377707958221436,0.0,0,0
000087.png,0.8357706069946289,0.0,0,0
000088.png,0.9368081092834472,0.0,0,0
000089.png,1.0407705307006836,0.0,0,0
000090.png,1.137808084487915,0.0,0,0
000091.png,1.2427706718444824,0.0,0,0
000092.png,1.335770845413208,0.0,0,0
000093.png,1.4367711544036863,0.0,0,0
000094.png,1.5368072986602783,0.0,0,0
000095.png,1.63981294631958,0.0,0,0
000096.png,1.7381772994995115,0.0,0,0
000097.png,1.8371593952178955,0.0,0,0
000098.png,1.9391226768493648,0.0,0,0
000099.png,2.039127826690674,0.0,0,0
000100.png,2.140127658843994,0.0,0,0
000101.png,2.242159128189087,0.0,0,0
000102.png,2.3401224613189697,0.0,0,0
000103.png,2.4391229152679443,0.0,0,0
000104.png,2.5401227474212646,0.0,0,0
000105.png,2.63815712928772,0.0,0,0
000106.png,2.738122940063477,0.0,0,0
000107.png,2.838160753250122,0.0,0,0
000108.png,2.938124179840088,0.0,0,0
000109.png,3.03861403465271,0.0,0,0
000110.png,3.138582706451416,0.0,0,0
000111.png,3.239503860473633,0.0,0,0
000112.png,3.3395493030548096,0.0,0,0
000113.png,3.438531875610352,0.0,0,0
000114.png,3.536545991897583,0.0,0,0
000115.png,3.638546943664551,0.0,0,0
000116.png,3.740544080734253,0.0,0,0
000117.png,3.8375086784362793,0.0,0,0
000118.png,3.9385149478912354,0.0,1,0
000119.png,4.038514614105225,0.1009948253631591,1,0
000120.png,4.1395463943481445,0.2010409832000732,1,0
